source_entity_id,reference_value,status,classification,deferred_domain,reason
DRV-003,PCI Express Interface,external,valid_external_concept,,"Appears to represent: Industry interface / bus standard. Registry search: No exact canonical, normalized canonical, exact alias, or normalized alias match. An industry interface referenced by several driver categories; it is meaningful context but does not require a Domain Layer node. Provisional interpretation was external, but it cannot be recommended without authoritative verification."
DRV-003,USB Controller Driver,deferred,future_domain_entity,Hardware,Concept belongs to the planned Hardware domain.
DRV-003,Management Engine Interface,external,valid_external_concept,,"Appears to represent: Hardware management interface. Registry search: No exact canonical, normalized canonical, exact alias, or normalized alias match. Appears to be a hardware/platform management interface used by chipset drivers; it is meaningful but outside the five-domain node scope. Provisional interpretation was external, but it cannot be recommended without authoritative verification."
DRV-003,IOMMU,deferred,future_domain_entity,Hardware,Concept belongs to the planned Hardware domain.
DRV-003,Power Management Subsystem,rejected,invalid_related_entity,,"Appears to represent: Hardware/OS power-control subsystem. Registry search: No exact canonical, normalized canonical, exact alias, or normalized alias match. A broad architectural component phrase without a stable identity."
DRV-004,OS Network Stack,external,valid_external_concept,,"Meaningful standard, interface, format, or platform facility outside the five entity domains."
DRV-004,Network Access Control Agent,deferred,future_domain_entity,Networking,Concept belongs to the planned Networking domain.
DRV-004,VPN Agent,deferred,future_domain_entity,Networking,Concept belongs to the planned Networking domain.
DRV-004,Firewall Driver,external,valid_external_concept,,Valid technical concept not required as a Domain Layer v1.1 entity.
DRV-004,PCI Express Interface,external,valid_external_concept,,"Appears to represent: Industry interface / bus standard. Registry search: No exact canonical, normalized canonical, exact alias, or normalized alias match. An industry interface referenced by several driver categories; it is meaningful context but does not require a Domain Layer node. Provisional interpretation was external, but it cannot be recommended without authoritative verification."
DRV-004,USB Controller Driver,deferred,future_domain_entity,Hardware,Concept belongs to the planned Hardware domain.
DRV-004,Wake-on-LAN,deferred,future_domain_entity,Networking,Concept belongs to the planned Networking domain.
DRV-005,OS Storage Stack,external,valid_external_concept,,Valid technical concept not required as a Domain Layer v1.1 entity.
DRV-005,Volume Manager,external,valid_external_concept,,Valid technical concept not required as a Domain Layer v1.1 entity.
DRV-005,Full Disk Encryption,rejected,overly_broad_reference,,The reference is too broad for a stable staging edge.
DRV-005,TCG Opal,external,valid_external_concept,,"Meaningful standard, interface, format, or platform facility outside the five entity domains."
DRV-005,RAID Controller,deferred,future_domain_entity,Hardware,Concept belongs to the planned Hardware domain.
DRV-005,StorPort,external,valid_external_concept,,Valid technical concept not required as a Domain Layer v1.1 entity.
DRV-005,SCSI,external,valid_external_concept,,"Meaningful standard, interface, format, or platform facility outside the five entity domains."
DRV-005,PCI Express Interface,external,valid_external_concept,,"Appears to represent: Industry interface / bus standard. Registry search: No exact canonical, normalized canonical, exact alias, or normalized alias match. An industry interface referenced by several driver categories; it is meaningful context but does not require a Domain Layer node. Provisional interpretation was external, but it cannot be recommended without authoritative verification."
DRV-005,USB Controller Driver,deferred,future_domain_entity,Hardware,Concept belongs to the planned Hardware domain.
DRV-005,Boot Critical Driver,external,valid_external_concept,,Valid technical concept not required as a Domain Layer v1.1 entity.
DRV-005,File System Driver,external,valid_external_concept,,Valid technical concept not required as a Domain Layer v1.1 entity.
DRV-006,WHQL,external,valid_external_concept,,"Meaningful standard, interface, format, or platform facility outside the five entity domains."
FW-001,MBR,external,valid_external_concept,,"Meaningful standard, interface, format, or platform facility outside the five entity domains."
FW-001,POST,external,valid_external_concept,,"Meaningful standard, interface, format, or platform facility outside the five entity domains."
FW-001,CMOS,deferred,future_domain_entity,Hardware,Concept belongs to the planned Hardware domain.
FW-001,CSM,external,valid_external_concept,,"Meaningful standard, interface, format, or platform facility outside the five entity domains."
FW-001,Hardware Abstraction Layer,deferred,future_domain_entity,Hardware,Concept belongs to the planned Hardware domain.
FW-002,SMBIOS,external,valid_external_concept,,"Meaningful standard, interface, format, or platform facility outside the five entity domains."
FW-002,CSM,external,valid_external_concept,,"Meaningful standard, interface, format, or platform facility outside the five entity domains."
FW-003,Battery Management System,deferred,future_domain_entity,Hardware,Concept belongs to the planned Hardware domain.
FW-003,Thermal Management Subsystem,deferred,future_domain_entity,Hardware,Concept belongs to the planned Hardware domain.
FW-003,USB Power Delivery Controller,deferred,future_domain_entity,Hardware,Concept belongs to the planned Hardware domain.
FW-003,Platform Power Management,rejected,invalid_related_entity,,"Appears to represent: Platform-level power-control capability. Registry search: No exact canonical, normalized canonical, exact alias, or normalized alias match. A broad platform capability rather than a discrete entity."
FW-004,SATA Controller,deferred,future_domain_entity,Hardware,Concept belongs to the planned Hardware domain.
FW-004,Storage Controller Driver,deferred,future_domain_entity,Hardware,Concept belongs to the planned Hardware domain.
FW-004,Self-Encrypting Drive,deferred,future_domain_entity,Hardware,Concept belongs to the planned Hardware domain.
FW-004,TCG Opal,external,valid_external_concept,,"Meaningful standard, interface, format, or platform facility outside the five entity domains."
FW-004,Full Disk Encryption,rejected,overly_broad_reference,,The reference is too broad for a stable staging edge.
FW-004,RAID Controller,deferred,future_domain_entity,Hardware,Concept belongs to the planned Hardware domain.
FW-005,BMC,deferred,future_domain_entity,Hardware,Concept belongs to the planned Hardware domain.
FW-005,IPMI,deferred,future_domain_entity,Hardware,Concept belongs to the planned Hardware domain.
FW-005,Out-of-Band Management,deferred,future_domain_entity,Platform Management,"Appears to represent: Remote management capability independent of host OS. Registry search: No exact canonical, normalized canonical, exact alias, or normalized alias match. A management capability/mode rather than a uniquely identifiable entity."
FW-005,WoL,deferred,future_domain_entity,Networking,Concept belongs to the planned Networking domain.
FW-005,Network Access Control,deferred,future_domain_entity,Networking,Concept belongs to the planned Networking domain.
FW-005,VPN Agent,deferred,future_domain_entity,Networking,Concept belongs to the planned Networking domain.
MGT-001,MDM Policy Engine,rejected,invalid_related_entity,,"Appears to represent: Management policy-processing component. Registry search: No exact canonical, normalized canonical, exact alias, or normalized alias match. Appears to mean the policy-evaluation component of mobile device management. It could overlap Endpoint Manager or merit a governed management component, but the intended identity is not established. Provisional interpretation was requires_more_evidence, but it cannot be recommended without authoritative verification."
MGT-001,PKI,deferred,future_domain_entity,Identity and Access,Concept belongs to the planned Identity and Access domain.
MGT-001,OS Deployment Service,deferred,future_domain_entity,Software Lifecycle Management,"Appears to represent: Operating-system provisioning service. Registry search: No exact canonical, normalized canonical, exact alias, or normalized alias match. Could denote a standalone deployment service or an Endpoint Manager capability; the source does not establish a unique identity. Provisional interpretation was requires_more_evidence, but it cannot be recommended without authoritative verification."
MGT-001,Software Distribution System,deferred,future_domain_entity,Software Lifecycle Management,"Appears to represent: Software deployment and distribution platform. Registry search: No exact canonical, normalized canonical, exact alias, or normalized alias match. A software distribution platform is a coherent management capability, but its product-neutral identity and boundary require a future software-lifecycle domain. Provisional interpretation was deferred for Software Lifecycle Management, but it cannot be recommended without authoritative verification."
MGT-001,Compliance Policy Engine,rejected,invalid_related_entity,,"Appears to represent: Configuration-compliance evaluation component. Registry search: No exact canonical, normalized canonical, exact alias, or normalized alias match. Appears to be a policy evaluation component essential to some compliance implementations, but the source does not establish whether it is a standalone entity or an Endpoint Manager capability. Provisional interpretation was requires_more_evidence, but it cannot be recommended without authoritative verification."
MGT-001,Identity Provider,deferred,future_domain_entity,Identity and Access,Concept belongs to the planned Identity and Access domain.
MGT-001,Conditional Access Policy,deferred,future_domain_entity,Identity and Access,Concept belongs to the planned Identity and Access domain.
MGT-001,Asset Inventory System,deferred,future_domain_entity,Asset and Configuration Management,"Appears to represent: Asset discovery and inventory platform. Registry search: No exact canonical, normalized canonical, exact alias, or normalized alias match. A distinct asset-inventory system belongs in a future asset/configuration-management domain rather than being folded into Endpoint Manager. Provisional interpretation was deferred for Asset and Configuration Management, but it cannot be recommended without authoritative verification."
MGT-001,CMDB,external,valid_external_concept,,Valid technical concept not required as a Domain Layer v1.1 entity.
MGT-001,Remote Control Service,deferred,future_domain_entity,Endpoint Management,"Appears to represent: Remote endpoint-control service. Registry search: No exact canonical, normalized canonical, exact alias, or normalized alias match. A meaningful management service category, but not necessary as a standalone current Domain Layer node. Provisional interpretation was external, but it cannot be recommended without authoritative verification."
MGT-001,Certificate Management System,deferred,future_domain_entity,Identity and Access,Concept belongs to the planned Identity and Access domain.
MGT-002,Log Aggregation Platform,deferred,future_domain_entity,Observability,"Appears to represent: Centralized log collection platform. Registry search: No exact canonical, normalized canonical, exact alias, or normalized alias match. A log collection and aggregation platform is a coherent future observability concept, separate from the current endpoint management entities. Provisional interpretation was deferred for Observability, but it cannot be recommended without authoritative verification."
MGT-002,Alerting Engine,rejected,invalid_related_entity,,"Appears to represent: Alert evaluation capability. Registry search: No exact canonical, normalized canonical, exact alias, or normalized alias match. A generic capability/component phrase without a stable product-neutral identity; it is not suitable as a related entity."
MGT-002,Time Series Database,deferred,future_domain_entity,Data Platform,"Appears to represent: Time-indexed metrics data store. Registry search: No exact canonical, normalized canonical, exact alias, or normalized alias match. A coherent data-storage platform category belonging to a future data/observability domain. Provisional interpretation was deferred for Data Platform, but it cannot be recommended without authoritative verification."
MGT-002,WMI,external,valid_external_concept,,"Meaningful standard, interface, format, or platform facility outside the five entity domains."
MGT-002,ETW,external,valid_external_concept,,"Meaningful standard, interface, format, or platform facility outside the five entity domains."
MGT-002,eBPF,deferred,future_domain_entity,Software Runtime,Concept belongs to the planned Software Runtime domain.
MGT-002,syslog,external,valid_external_concept,,"Meaningful standard, interface, format, or platform facility outside the five entity domains."
MGT-002,Hardware Sensor Interface,deferred,future_domain_entity,Hardware,Concept belongs to the planned Hardware domain.
MGT-002,IPMI,deferred,future_domain_entity,Hardware,Concept belongs to the planned Hardware domain.
MGT-002,BMC,deferred,future_domain_entity,Hardware,Concept belongs to the planned Hardware domain.
MGT-002,Application Performance Monitoring,deferred,future_domain_entity,Observability,"Appears to represent: Application telemetry and performance monitoring capability. Registry search: No exact canonical, normalized canonical, exact alias, or normalized alias match. A recognized monitoring discipline/platform category that belongs in a future observability domain. Provisional interpretation was deferred for Observability, but it cannot be recommended without authoritative verification."
MGT-002,OpenTelemetry,external,valid_external_concept,,"Meaningful standard, interface, format, or platform facility outside the five entity domains."
MGT-002,OS Event Log,external,valid_external_concept,,Valid technical concept not required as a Domain Layer v1.1 entity.
MGT-003,Vulnerability Management Platform,deferred,future_domain_entity,Security Operations,"Appears to represent: Vulnerability discovery and remediation platform. Registry search: No exact canonical, normalized canonical, exact alias, or normalized alias match. A coherent security-operations platform category that should be modeled in a future domain rather than as an endpoint component. Provisional interpretation was deferred for Security Operations, but it cannot be recommended without authoritative verification."
MGT-003,CVE Database,external,valid_external_concept,,"Appears to represent: Vulnerability identifier data source. Registry search: No exact canonical, normalized canonical, exact alias, or normalized alias match. An external vulnerability-information data source, not an endpoint Domain Layer entity. Provisional interpretation was external, but it cannot be recommended without authoritative verification."
MGT-003,OS Update Service,rejected,invalid_related_entity,,"Appears to represent: Generic operating-system update capability. Registry search: No exact canonical, normalized canonical, exact alias, or normalized alias match. A generic phrase that can refer to several vendor services and cannot identify one stable entity."
MGT-003,Driver Update Service,external,valid_external_concept,,"Appears to represent: Driver delivery/update service. Registry search: No exact canonical, normalized canonical, exact alias, or normalized alias match. A meaningful external operating-system or vendor service that distributes driver updates; it need not become a Domain Layer node. Provisional interpretation was external, but it cannot be recommended without authoritative verification."
MGT-003,Deployment Ring Policy,deferred,future_domain_entity,Policy and Compliance,"Appears to represent: Phased deployment policy object. Registry search: No exact canonical, normalized canonical, exact alias, or normalized alias match. Appears to be a rollout policy/configuration object. More evidence is needed to decide whether policies are first-class entities or relationship attributes. Provisional interpretation was requires_more_evidence, but it cannot be recommended without authoritative verification."
MGT-003,Maintenance Window Policy,deferred,future_domain_entity,Policy and Compliance,"Appears to represent: Patch/deployment scheduling policy. Registry search: No exact canonical, normalized canonical, exact alias, or normalized alias match. Appears to be a scheduling policy object. Evidence and modeling rules are needed before treating policies as entities rather than attributes. Provisional interpretation was requires_more_evidence, but it cannot be recommended without authoritative verification."
MGT-003,Patch Compliance Reporting,rejected,invalid_related_entity,,"Appears to represent: Patch-status reporting capability. Registry search: No exact canonical, normalized canonical, exact alias, or normalized alias match. A reporting capability or output, not a standalone entity."
MGT-003,Change Management System,deferred,future_domain_entity,IT Service Management,"Appears to represent: IT change-control platform. Registry search: No exact canonical, normalized canonical, exact alias, or normalized alias match. A change-control platform belongs to a future IT service-management domain. Provisional interpretation was deferred for IT Service Management, but it cannot be recommended without authoritative verification."
MGT-003,Software Distribution System,deferred,future_domain_entity,Software Lifecycle Management,"Appears to represent: Software deployment and distribution platform. Registry search: No exact canonical, normalized canonical, exact alias, or normalized alias match. A software distribution platform is a coherent management capability, but its product-neutral identity and boundary require a future software-lifecycle domain. Provisional interpretation was deferred for Software Lifecycle Management, but it cannot be recommended without authoritative verification."
MGT-003,Asset Inventory System,deferred,future_domain_entity,Asset and Configuration Management,"Appears to represent: Asset discovery and inventory platform. Registry search: No exact canonical, normalized canonical, exact alias, or normalized alias match. A distinct asset-inventory system belongs in a future asset/configuration-management domain rather than being folded into Endpoint Manager. Provisional interpretation was deferred for Asset and Configuration Management, but it cannot be recommended without authoritative verification."
MGT-004,Identity Provider,deferred,future_domain_entity,Identity and Access,Concept belongs to the planned Identity and Access domain.
MGT-008,Log Aggregation Platform,deferred,future_domain_entity,Observability,"Appears to represent: Centralized log collection platform. Registry search: No exact canonical, normalized canonical, exact alias, or normalized alias match. A log collection and aggregation platform is a coherent future observability concept, separate from the current endpoint management entities. Provisional interpretation was deferred for Observability, but it cannot be recommended without authoritative verification."
OS-001,NTFS,external,valid_external_concept,,"Meaningful standard, interface, format, or platform facility outside the five entity domains."
OS-001,Windows Defender,external,valid_external_concept,,Valid technical concept not required as a Domain Layer v1.1 entity.
OS-001,Virtualization Based Security,external,valid_external_concept,,Valid technical concept not required as a Domain Layer v1.1 entity.
OS-001,MDM Policy Engine,rejected,invalid_related_entity,,"Appears to represent: Management policy-processing component. Registry search: No exact canonical, normalized canonical, exact alias, or normalized alias match. Appears to mean the policy-evaluation component of mobile device management. It could overlap Endpoint Manager or merit a governed management component, but the intended identity is not established. Provisional interpretation was requires_more_evidence, but it cannot be recommended without authoritative verification."
OS-001,LSASS,deferred,future_domain_entity,Identity and Access,Concept belongs to the planned Identity and Access domain.
OS-001,Credential Guard,deferred,future_domain_entity,Identity and Access,Concept belongs to the planned Identity and Access domain.
OS-002,LTSC,external,valid_external_concept,,Valid technical concept not required as a Domain Layer v1.1 entity.
OS-002,MDM Policy Engine,rejected,invalid_related_entity,,"Appears to represent: Management policy-processing component. Registry search: No exact canonical, normalized canonical, exact alias, or normalized alias match. Appears to mean the policy-evaluation component of mobile device management. It could overlap Endpoint Manager or merit a governed management component, but the intended identity is not established. Provisional interpretation was requires_more_evidence, but it cannot be recommended without authoritative verification."
OS-002,Credential Guard,deferred,future_domain_entity,Identity and Access,Concept belongs to the planned Identity and Access domain.
OS-002,WDAC,external,valid_external_concept,,Valid technical concept not required as a Domain Layer v1.1 entity.
OS-002,Windows Defender,external,valid_external_concept,,Valid technical concept not required as a Domain Layer v1.1 entity.
OS-003,TPM 2.0,external,valid_external_concept,,Valid technical concept not required as a Domain Layer v1.1 entity.
OS-003,VBS,external,valid_external_concept,,Valid technical concept not required as a Domain Layer v1.1 entity.
OS-003,HVCI,external,valid_external_concept,,Valid technical concept not required as a Domain Layer v1.1 entity.
OS-003,Credential Guard,deferred,future_domain_entity,Identity and Access,Concept belongs to the planned Identity and Access domain.
OS-003,Microsoft Pluton,external,valid_external_concept,,Valid technical concept not required as a Domain Layer v1.1 entity.
OS-003,Secured-core PC,external,valid_external_concept,,Valid technical concept not required as a Domain Layer v1.1 entity.
OS-003,WDAC,external,valid_external_concept,,Valid technical concept not required as a Domain Layer v1.1 entity.
OS-003,Windows Defender,external,valid_external_concept,,Valid technical concept not required as a Domain Layer v1.1 entity.
OS-003,MDM Policy Engine,rejected,invalid_related_entity,,"Appears to represent: Management policy-processing component. Registry search: No exact canonical, normalized canonical, exact alias, or normalized alias match. Appears to mean the policy-evaluation component of mobile device management. It could overlap Endpoint Manager or merit a governed management component, but the intended identity is not established. Provisional interpretation was requires_more_evidence, but it cannot be recommended without authoritative verification."
OS-004,GRUB Bootloader,external,valid_external_concept,,Valid technical concept not required as a Domain Layer v1.1 entity.
OS-004,systemd,deferred,future_domain_entity,Software Runtime,Concept belongs to the planned Software Runtime domain.
OS-004,eBPF,deferred,future_domain_entity,Software Runtime,Concept belongs to the planned Software Runtime domain.
OS-004,Kernel Module Signing,external,valid_external_concept,,Valid technical concept not required as a Domain Layer v1.1 entity.
OS-004,PAM,deferred,future_domain_entity,Identity and Access,Concept belongs to the planned Identity and Access domain.
OS-004,cgroups,deferred,future_domain_entity,Software Runtime,Concept belongs to the planned Software Runtime domain.
OS-004,Container Runtime,deferred,future_domain_entity,Software Runtime,Concept belongs to the planned Software Runtime domain.
OS-005,APT Package Manager,deferred,future_domain_entity,Software Runtime,Concept belongs to the planned Software Runtime domain.
OS-005,systemd,deferred,future_domain_entity,Software Runtime,Concept belongs to the planned Software Runtime domain.
OS-005,GRUB Bootloader,external,valid_external_concept,,Valid technical concept not required as a Domain Layer v1.1 entity.
OS-005,Snap Package Manager,deferred,future_domain_entity,Software Runtime,Concept belongs to the planned Software Runtime domain.
OS-005,DKMS,deferred,future_domain_entity,Software Runtime,Concept belongs to the planned Software Runtime domain.
OS-005,Kernel Live Patching,external,valid_external_concept,,Valid technical concept not required as a Domain Layer v1.1 entity.
OS-005,Hardware Enablement Stack,deferred,future_domain_entity,Hardware,Concept belongs to the planned Hardware domain.
OS-006,FIPS 140,external,valid_external_concept,,"Meaningful standard, interface, format, or platform facility outside the five entity domains."
OS-006,RPM Package Manager,deferred,future_domain_entity,Software Runtime,Concept belongs to the planned Software Runtime domain.
OS-006,systemd,deferred,future_domain_entity,Software Runtime,Concept belongs to the planned Software Runtime domain.
OS-006,GRUB Bootloader,external,valid_external_concept,,Valid technical concept not required as a Domain Layer v1.1 entity.
OS-006,DKMS,deferred,future_domain_entity,Software Runtime,Concept belongs to the planned Software Runtime domain.
OS-006,OpenSCAP,external,valid_external_concept,,Valid technical concept not required as a Domain Layer v1.1 entity.
OS-006,Kernel Live Patching,external,valid_external_concept,,Valid technical concept not required as a Domain Layer v1.1 entity.
OS-006,Red Hat Satellite,external,valid_external_concept,,Valid technical concept not required as a Domain Layer v1.1 entity.
OS-006,Ansible Automation,external,valid_external_concept,,Valid technical concept not required as a Domain Layer v1.1 entity.
OS-007,DriverKit,external,valid_external_concept,,Valid technical concept not required as a Domain Layer v1.1 entity.
OS-007,EndpointSecurity Framework,external,valid_external_concept,,"Appears to represent: Vendor endpoint-security API framework. Registry search: No exact canonical, normalized canonical, exact alias, or normalized alias match. Appears to refer to an Apple platform API/framework; it is meaningful compatibility context but not an operating-system entity. Provisional interpretation was external, but it cannot be recommended without authoritative verification."
OS-007,TCC,external,valid_external_concept,,Valid technical concept not required as a Domain Layer v1.1 entity.
OS-007,MDM Configuration Profile,external,valid_external_concept,,Valid technical concept not required as a Domain Layer v1.1 entity.
OS-007,Apple Business Manager,deferred,future_domain_entity,Cloud Services,Concept belongs to the planned Cloud Services domain.
OS-007,TPM Equivalent,external,valid_external_concept,,Valid technical concept not required as a Domain Layer v1.1 entity.
OS-007,APFS,external,valid_external_concept,,"Meaningful standard, interface, format, or platform facility outside the five entity domains."
OS-007,Code Signing,rejected,overly_broad_reference,,The reference is too broad for a stable staging edge.
OS-007,Kernel Extension,deferred,future_domain_entity,Software Runtime,Concept belongs to the planned Software Runtime domain.
OS-007,System Extension,external,valid_external_concept,,Valid technical concept not required as a Domain Layer v1.1 entity.
OS-008,Loadable Kernel Module,deferred,future_domain_entity,Software Runtime,Concept belongs to the planned Software Runtime domain.
OS-008,eBPF,deferred,future_domain_entity,Software Runtime,Concept belongs to the planned Software Runtime domain.
OS-009,HAL,external,valid_external_concept,,Valid technical concept not required as a Domain Layer v1.1 entity.
SEC-001,Hardware Root of Trust,deferred,future_domain_entity,Hardware,Concept belongs to the planned Hardware domain.
SEC-001,Memory Encryption,rejected,overly_broad_reference,,The reference is too broad for a stable staging edge.
SEC-001,Physical Unclonable Function,external,valid_external_concept,,Valid technical concept not required as a Domain Layer v1.1 entity.
SEC-001,Hardware Security Key,deferred,future_domain_entity,Hardware,Concept belongs to the planned Hardware domain.
SEC-002,TPM Measured Boot,external,valid_external_concept,,Valid technical concept not required as a Domain Layer v1.1 entity.
SEC-002,Boot Guard,external,valid_external_concept,,Valid technical concept not required as a Domain Layer v1.1 entity.
SEC-002,UEFI Signature Database,external,valid_external_concept,,"Appears to represent: Secure Boot signature database. Registry search: No exact canonical, normalized canonical, exact alias, or normalized alias match. A meaningful UEFI platform data structure, not a standalone firmware entity in the current model. Provisional interpretation was external, but it cannot be recommended without authoritative verification."
SEC-002,Firmware Integrity Verification,external,valid_external_concept,,Valid technical concept not required as a Domain Layer v1.1 entity.
SEC-002,Platform Key Management,rejected,invalid_related_entity,,"Appears to represent: Platform cryptographic-key management capability. Registry search: No exact canonical, normalized canonical, exact alias, or normalized alias match. A broad security capability phrase, not a stable entity or uniquely named standard in this context."
SEC-002,Early Launch Anti-Malware,external,valid_external_concept,,Valid technical concept not required as a Domain Layer v1.1 entity.
SEC-003,Anti-Malware Engine,external,valid_external_concept,,"Appears to represent: Malware detection engine component. Registry search: No exact canonical, normalized canonical, exact alias, or normalized alias match. A meaningful implementation component of anti-malware products, but the existing Antivirus entity is the governed Domain Layer concept. Provisional interpretation was external, but it cannot be recommended without authoritative verification."
SEC-003,Host Intrusion Prevention System,deferred,future_domain_entity,Endpoint Security,"Appears to represent: Host-based intrusion prevention system. Registry search: No exact canonical, normalized canonical, exact alias, or normalized alias match. A meaningful security-system category outside the minimum current Domain Layer node set. Provisional interpretation was external, but it cannot be recommended without authoritative verification."
SEC-003,Application Whitelisting Agent,deferred,future_domain_entity,Endpoint Security,"Appears to represent: Application-control security agent. Registry search: No exact canonical, normalized canonical, exact alias, or normalized alias match. A meaningful endpoint security-agent role, but no unique product-neutral identity is established for a core node. Provisional interpretation was external, but it cannot be recommended without authoritative verification."
SEC-003,File Integrity Monitoring Agent,deferred,future_domain_entity,Endpoint Security,"Appears to represent: Host file-integrity security agent. Registry search: No exact canonical, normalized canonical, exact alias, or normalized alias match. A meaningful security-agent role, but not essential as a canonical node for the current compatibility and compliance scope. Provisional interpretation was external, but it cannot be recommended without authoritative verification."
SEC-003,Data Loss Prevention Agent,deferred,future_domain_entity,Endpoint Security,"Appears to represent: Endpoint data-loss-prevention agent. Registry search: No exact canonical, normalized canonical, exact alias, or normalized alias match. A meaningful endpoint security-agent role but not required as a standalone current-scope node. Provisional interpretation was external, but it cannot be recommended without authoritative verification."
SEC-004,Host Intrusion Detection System,deferred,future_domain_entity,Endpoint Security,"Appears to represent: Host-based intrusion detection system. Registry search: No exact canonical, normalized canonical, exact alias, or normalized alias match. A meaningful security-system category outside the minimum current Domain Layer node set. Provisional interpretation was external, but it cannot be recommended without authoritative verification."
SEC-004,Extended Detection and Response Agent,deferred,future_domain_entity,Security Operations,"Appears to represent: Extended detection and response endpoint agent. Registry search: No exact canonical, normalized canonical, exact alias, or normalized alias match. A meaningful security product/agent category, but not required as a core compatibility node in this release. Provisional interpretation was external, but it cannot be recommended without authoritative verification."
SEC-004,User and Entity Behavior Analytics Agent,deferred,future_domain_entity,Security Analytics,"Appears to represent: Behavior-analytics collection agent. Registry search: No exact canonical, normalized canonical, exact alias, or normalized alias match. A meaningful security analytics agent role, but not necessary as a standalone current Domain Layer node. Provisional interpretation was external, but it cannot be recommended without authoritative verification."
SEC-004,Security Information and Event Management Forwarder,external,valid_external_concept,,"Appears to represent: Security-event forwarding agent. Registry search: No exact canonical, normalized canonical, exact alias, or normalized alias match. A meaningful log-forwarding agent role associated with SIEM, but not a core entity for current endpoint reasoning. Provisional interpretation was external, but it cannot be recommended without authoritative verification."
SEC-004,File Integrity Monitoring Agent,deferred,future_domain_entity,Endpoint Security,"Appears to represent: Host file-integrity security agent. Registry search: No exact canonical, normalized canonical, exact alias, or normalized alias match. A meaningful security-agent role, but not essential as a canonical node for the current compatibility and compliance scope. Provisional interpretation was external, but it cannot be recommended without authoritative verification."
SEC-007,Notarization,rejected,overly_broad_reference,,The reference is too broad for a stable staging edge.
SEC-008,Full Disk Encryption,rejected,overly_broad_reference,,The reference is too broad for a stable staging edge.
SEC-009,Full Disk Encryption,rejected,overly_broad_reference,,The reference is too broad for a stable staging edge.
SEC-012,Full Disk Encryption,rejected,overly_broad_reference,,The reference is too broad for a stable staging edge.
