source_entity_id,reference_value,status,classification,deferred_domain,reason
FW-004,Full Disk Encryption,rejected,overly_broad_reference,,The reference is too broad for a stable staging edge.
FW-004,RAID Controller,deferred,future_domain_entity,Hardware,Concept belongs to the planned Hardware domain.
FW-005,BMC,deferred,future_domain_entity,Hardware,Concept belongs to the planned Hardware domain.
FW-005,IPMI,deferred,future_domain_entity,Hardware,Concept belongs to the planned Hardware domain.
FW-005,Out-of-Band Management,requires_human_review,requires_human_review,,"The value is meaningful but may represent a capability, relationship phrase, or future entity."
FW-005,WoL,deferred,future_domain_entity,Networking,Concept belongs to the planned Networking domain.
FW-005,Network Access Control,deferred,future_domain_entity,Networking,Concept belongs to the planned Networking domain.
FW-005,VPN Agent,deferred,future_domain_entity,Networking,Concept belongs to the planned Networking domain.
MGT-001,MDM Policy Engine,requires_human_review,requires_human_review,,"The value is meaningful but may represent a capability, relationship phrase, or future entity."
MGT-001,PKI,deferred,future_domain_entity,Identity and Access,Concept belongs to the planned Identity and Access domain.
MGT-001,OS Deployment Service,requires_human_review,requires_human_review,,"The value is meaningful but may represent a capability, relationship phrase, or future entity."
MGT-001,Software Distribution System,requires_human_review,requires_human_review,,"The value is meaningful but may represent a capability, relationship phrase, or future entity."
MGT-001,Configuration Baseline,requires_human_review,requires_human_review,,"The value is meaningful but may represent a capability, relationship phrase, or future entity."
MGT-001,Compliance Policy Engine,requires_human_review,requires_human_review,,"The value is meaningful but may represent a capability, relationship phrase, or future entity."
MGT-001,Endpoint Agent,requires_human_review,requires_human_review,,"The value is meaningful but may represent a capability, relationship phrase, or future entity."
MGT-001,Identity Provider,deferred,future_domain_entity,Identity and Access,Concept belongs to the planned Identity and Access domain.
MGT-001,Conditional Access Policy,deferred,future_domain_entity,Identity and Access,Concept belongs to the planned Identity and Access domain.
MGT-001,Asset Inventory System,requires_human_review,requires_human_review,,"The value is meaningful but may represent a capability, relationship phrase, or future entity."
MGT-001,CMDB,external,valid_external_concept,,Valid technical concept not required as a Domain Layer v1.1 entity.
MGT-001,Remote Control Service,requires_human_review,requires_human_review,,"The value is meaningful but may represent a capability, relationship phrase, or future entity."
MGT-001,Certificate Management System,deferred,future_domain_entity,Identity and Access,Concept belongs to the planned Identity and Access domain.
MGT-002,Log Aggregation Platform,requires_human_review,requires_human_review,,"The value is meaningful but may represent a capability, relationship phrase, or future entity."
MGT-002,Alerting Engine,requires_human_review,requires_human_review,,"The value is meaningful but may represent a capability, relationship phrase, or future entity."
MGT-002,Time Series Database,requires_human_review,requires_human_review,,"The value is meaningful but may represent a capability, relationship phrase, or future entity."
MGT-002,WMI,external,valid_external_concept,,"Meaningful standard, interface, format, or platform facility outside the five entity domains."
MGT-002,ETW,external,valid_external_concept,,"Meaningful standard, interface, format, or platform facility outside the five entity domains."
MGT-002,eBPF,deferred,future_domain_entity,Software Runtime,Concept belongs to the planned Software Runtime domain.
MGT-002,syslog,external,valid_external_concept,,"Meaningful standard, interface, format, or platform facility outside the five entity domains."
MGT-002,Hardware Sensor Interface,deferred,future_domain_entity,Hardware,Concept belongs to the planned Hardware domain.
MGT-002,IPMI,deferred,future_domain_entity,Hardware,Concept belongs to the planned Hardware domain.
MGT-002,BMC,deferred,future_domain_entity,Hardware,Concept belongs to the planned Hardware domain.
MGT-002,Application Performance Monitoring,requires_human_review,requires_human_review,,"The value is meaningful but may represent a capability, relationship phrase, or future entity."
MGT-002,OpenTelemetry,external,valid_external_concept,,"Meaningful standard, interface, format, or platform facility outside the five entity domains."
MGT-002,OS Event Log,external,valid_external_concept,,Valid technical concept not required as a Domain Layer v1.1 entity.
MGT-003,Vulnerability Management Platform,requires_human_review,requires_human_review,,"The value is meaningful but may represent a capability, relationship phrase, or future entity."
MGT-003,CVE Database,requires_human_review,requires_human_review,,"The value is meaningful but may represent a capability, relationship phrase, or future entity."
MGT-003,OS Update Service,requires_human_review,requires_human_review,,"The value is meaningful but may represent a capability, relationship phrase, or future entity."
MGT-003,Driver Update Service,requires_human_review,requires_human_review,,"The value is meaningful but may represent a capability, relationship phrase, or future entity."
MGT-003,Deployment Ring Policy,requires_human_review,requires_human_review,,"The value is meaningful but may represent a capability, relationship phrase, or future entity."
MGT-003,Maintenance Window Policy,requires_human_review,requires_human_review,,"The value is meaningful but may represent a capability, relationship phrase, or future entity."
MGT-003,Patch Compliance Reporting,requires_human_review,requires_human_review,,"The value is meaningful but may represent a capability, relationship phrase, or future entity."
MGT-003,Change Management System,requires_human_review,requires_human_review,,"The value is meaningful but may represent a capability, relationship phrase, or future entity."
MGT-003,Software Distribution System,requires_human_review,requires_human_review,,"The value is meaningful but may represent a capability, relationship phrase, or future entity."
MGT-003,Asset Inventory System,requires_human_review,requires_human_review,,"The value is meaningful but may represent a capability, relationship phrase, or future entity."
MGT-004,Identity Provider,deferred,future_domain_entity,Identity and Access,Concept belongs to the planned Identity and Access domain.
MGT-008,Log Aggregation Platform,requires_human_review,requires_human_review,,"The value is meaningful but may represent a capability, relationship phrase, or future entity."
OS-001,NTFS,external,valid_external_concept,,"Meaningful standard, interface, format, or platform facility outside the five entity domains."
OS-001,Windows Defender,external,valid_external_concept,,Valid technical concept not required as a Domain Layer v1.1 entity.
OS-001,Virtualization Based Security,external,valid_external_concept,,Valid technical concept not required as a Domain Layer v1.1 entity.
OS-001,MDM Policy Engine,requires_human_review,requires_human_review,,"The value is meaningful but may represent a capability, relationship phrase, or future entity."
OS-001,LSASS,deferred,future_domain_entity,Identity and Access,Concept belongs to the planned Identity and Access domain.
OS-001,Credential Guard,deferred,future_domain_entity,Identity and Access,Concept belongs to the planned Identity and Access domain.
OS-002,LTSC,external,valid_external_concept,,Valid technical concept not required as a Domain Layer v1.1 entity.
OS-002,MDM Policy Engine,requires_human_review,requires_human_review,,"The value is meaningful but may represent a capability, relationship phrase, or future entity."
OS-002,Credential Guard,deferred,future_domain_entity,Identity and Access,Concept belongs to the planned Identity and Access domain.
OS-002,WDAC,external,valid_external_concept,,Valid technical concept not required as a Domain Layer v1.1 entity.
OS-002,Windows Defender,external,valid_external_concept,,Valid technical concept not required as a Domain Layer v1.1 entity.
OS-003,TPM 2.0,external,valid_external_concept,,Valid technical concept not required as a Domain Layer v1.1 entity.
OS-003,VBS,external,valid_external_concept,,Valid technical concept not required as a Domain Layer v1.1 entity.
OS-003,HVCI,external,valid_external_concept,,Valid technical concept not required as a Domain Layer v1.1 entity.
OS-003,Credential Guard,deferred,future_domain_entity,Identity and Access,Concept belongs to the planned Identity and Access domain.
OS-003,Microsoft Pluton,external,valid_external_concept,,Valid technical concept not required as a Domain Layer v1.1 entity.
OS-003,Secured-core PC,external,valid_external_concept,,Valid technical concept not required as a Domain Layer v1.1 entity.
OS-003,WDAC,external,valid_external_concept,,Valid technical concept not required as a Domain Layer v1.1 entity.
OS-003,Windows Defender,external,valid_external_concept,,Valid technical concept not required as a Domain Layer v1.1 entity.
OS-003,MDM Policy Engine,requires_human_review,requires_human_review,,"The value is meaningful but may represent a capability, relationship phrase, or future entity."
OS-004,GRUB Bootloader,external,valid_external_concept,,Valid technical concept not required as a Domain Layer v1.1 entity.
OS-004,systemd,deferred,future_domain_entity,Software Runtime,Concept belongs to the planned Software Runtime domain.
OS-004,eBPF,deferred,future_domain_entity,Software Runtime,Concept belongs to the planned Software Runtime domain.
OS-004,Kernel Module Signing,external,valid_external_concept,,Valid technical concept not required as a Domain Layer v1.1 entity.
OS-004,PAM,deferred,future_domain_entity,Identity and Access,Concept belongs to the planned Identity and Access domain.
OS-004,cgroups,deferred,future_domain_entity,Software Runtime,Concept belongs to the planned Software Runtime domain.
OS-004,Container Runtime,deferred,future_domain_entity,Software Runtime,Concept belongs to the planned Software Runtime domain.
OS-005,APT Package Manager,deferred,future_domain_entity,Software Runtime,Concept belongs to the planned Software Runtime domain.
OS-005,systemd,deferred,future_domain_entity,Software Runtime,Concept belongs to the planned Software Runtime domain.
OS-005,GRUB Bootloader,external,valid_external_concept,,Valid technical concept not required as a Domain Layer v1.1 entity.
OS-005,Snap Package Manager,deferred,future_domain_entity,Software Runtime,Concept belongs to the planned Software Runtime domain.
OS-005,DKMS,deferred,future_domain_entity,Software Runtime,Concept belongs to the planned Software Runtime domain.
OS-005,Kernel Live Patching,external,valid_external_concept,,Valid technical concept not required as a Domain Layer v1.1 entity.
OS-005,Hardware Enablement Stack,deferred,future_domain_entity,Hardware,Concept belongs to the planned Hardware domain.
OS-006,FIPS 140,external,valid_external_concept,,"Meaningful standard, interface, format, or platform facility outside the five entity domains."
OS-006,RPM Package Manager,deferred,future_domain_entity,Software Runtime,Concept belongs to the planned Software Runtime domain.
OS-006,systemd,deferred,future_domain_entity,Software Runtime,Concept belongs to the planned Software Runtime domain.
OS-006,GRUB Bootloader,external,valid_external_concept,,Valid technical concept not required as a Domain Layer v1.1 entity.
OS-006,DKMS,deferred,future_domain_entity,Software Runtime,Concept belongs to the planned Software Runtime domain.
OS-006,OpenSCAP,external,valid_external_concept,,Valid technical concept not required as a Domain Layer v1.1 entity.
OS-006,Kernel Live Patching,external,valid_external_concept,,Valid technical concept not required as a Domain Layer v1.1 entity.
OS-006,Red Hat Satellite,external,valid_external_concept,,Valid technical concept not required as a Domain Layer v1.1 entity.
OS-006,Ansible Automation,external,valid_external_concept,,Valid technical concept not required as a Domain Layer v1.1 entity.
OS-007,DriverKit,external,valid_external_concept,,Valid technical concept not required as a Domain Layer v1.1 entity.
OS-007,EndpointSecurity Framework,requires_human_review,requires_human_review,,"The value is meaningful but may represent a capability, relationship phrase, or future entity."
OS-007,TCC,external,valid_external_concept,,Valid technical concept not required as a Domain Layer v1.1 entity.
OS-007,MDM Configuration Profile,external,valid_external_concept,,Valid technical concept not required as a Domain Layer v1.1 entity.
OS-007,Apple Business Manager,deferred,future_domain_entity,Cloud Services,Concept belongs to the planned Cloud Services domain.
OS-007,TPM Equivalent,external,valid_external_concept,,Valid technical concept not required as a Domain Layer v1.1 entity.
OS-007,APFS,external,valid_external_concept,,"Meaningful standard, interface, format, or platform facility outside the five entity domains."
OS-007,Code Signing,rejected,overly_broad_reference,,The reference is too broad for a stable staging edge.
OS-007,Kernel Extension,deferred,future_domain_entity,Software Runtime,Concept belongs to the planned Software Runtime domain.
OS-007,System Extension,external,valid_external_concept,,Valid technical concept not required as a Domain Layer v1.1 entity.
OS-008,Loadable Kernel Module,deferred,future_domain_entity,Software Runtime,Concept belongs to the planned Software Runtime domain.
OS-008,eBPF,deferred,future_domain_entity,Software Runtime,Concept belongs to the planned Software Runtime domain.
OS-009,HAL,external,valid_external_concept,,Valid technical concept not required as a Domain Layer v1.1 entity.
SEC-001,Hardware Root of Trust,deferred,future_domain_entity,Hardware,Concept belongs to the planned Hardware domain.
SEC-001,Memory Encryption,rejected,overly_broad_reference,,The reference is too broad for a stable staging edge.
SEC-001,Physical Unclonable Function,external,valid_external_concept,,Valid technical concept not required as a Domain Layer v1.1 entity.
SEC-001,Hardware Security Key,deferred,future_domain_entity,Hardware,Concept belongs to the planned Hardware domain.
SEC-002,TPM Measured Boot,external,valid_external_concept,,Valid technical concept not required as a Domain Layer v1.1 entity.
SEC-002,Boot Guard,external,valid_external_concept,,Valid technical concept not required as a Domain Layer v1.1 entity.
SEC-002,UEFI Signature Database,requires_human_review,requires_human_review,,"The value is meaningful but may represent a capability, relationship phrase, or future entity."
SEC-002,Firmware Integrity Verification,external,valid_external_concept,,Valid technical concept not required as a Domain Layer v1.1 entity.
SEC-002,Platform Key Management,requires_human_review,requires_human_review,,"The value is meaningful but may represent a capability, relationship phrase, or future entity."
SEC-002,Early Launch Anti-Malware,external,valid_external_concept,,Valid technical concept not required as a Domain Layer v1.1 entity.
SEC-003,Anti-Malware Engine,requires_human_review,requires_human_review,,"The value is meaningful but may represent a capability, relationship phrase, or future entity."
SEC-003,Host Intrusion Prevention System,requires_human_review,requires_human_review,,"The value is meaningful but may represent a capability, relationship phrase, or future entity."
SEC-003,Application Whitelisting Agent,requires_human_review,requires_human_review,,"The value is meaningful but may represent a capability, relationship phrase, or future entity."
SEC-003,File Integrity Monitoring Agent,requires_human_review,requires_human_review,,"The value is meaningful but may represent a capability, relationship phrase, or future entity."
SEC-003,Data Loss Prevention Agent,requires_human_review,requires_human_review,,"The value is meaningful but may represent a capability, relationship phrase, or future entity."
SEC-004,Host Intrusion Detection System,requires_human_review,requires_human_review,,"The value is meaningful but may represent a capability, relationship phrase, or future entity."
SEC-004,Extended Detection and Response Agent,requires_human_review,requires_human_review,,"The value is meaningful but may represent a capability, relationship phrase, or future entity."
SEC-004,User and Entity Behavior Analytics Agent,requires_human_review,requires_human_review,,"The value is meaningful but may represent a capability, relationship phrase, or future entity."
SEC-004,Security Information and Event Management Forwarder,requires_human_review,requires_human_review,,"The value is meaningful but may represent a capability, relationship phrase, or future entity."
SEC-004,File Integrity Monitoring Agent,requires_human_review,requires_human_review,,"The value is meaningful but may represent a capability, relationship phrase, or future entity."
SEC-007,Notarization,rejected,overly_broad_reference,,The reference is too broad for a stable staging edge.
SEC-008,Full Disk Encryption,rejected,overly_broad_reference,,The reference is too broad for a stable staging edge.
SEC-009,Full Disk Encryption,rejected,overly_broad_reference,,The reference is too broad for a stable staging edge.
SEC-012,Full Disk Encryption,rejected,overly_broad_reference,,The reference is too broad for a stable staging edge.
